Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
1,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
2,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
3,0,0,1,0,0,0,0,0,0,398,400,15,1,800000
4,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
5,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
6,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
7,0,1,1,0,0,0,0,0,0,399,400,15,1,800000
8,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
9,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
10,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
11,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
12,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
13,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
14,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
15,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
16,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
17,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
18,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
19,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
20,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
21,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
22,0,2,1,0,0,0,0,0,0,399,400,15,1,800000
23,0,2,1,0,0,0,0,0,0,400,400,15,1,800000
24,1,2,1,0,0,0,0,0,0,399,400,15,1,800000
25,1,2,1,0,0,0,0,0,0,400,400,15,1,800000
26,1,2,0,1,4,5,4,0,0,399,400,15,1,800000
27,2,2,0,1,11,10,12,0,1,400,400,15,1,800000
28,2,2,0,1,12,11,13,0,2,400,400,15,1,800000
29,2,2,0,1,13,12,14,0,3,401,400,16,1,800000
30,2,2,0,1,14,13,15,0,4,401,400,16,1,800000
31,2,2,0,1,15,14,16,0,5,401,400,16,1,800000
32,2,2,0,1,16,15,17,0,6,402,400,17,1,800000
33,2,2,0,1,17,16,18,0,7,402,400,17,1,800000
34,2,2,0,1,18,17,19,0,8,402,400,17,1,800000
35,2,2,0,1,19,18,20,0,9,403,400,18,1,800000
36,2,2,0,1,19,18,20,0,10,403,400,18,1,800000
37,2,2,0,1,19,18,20,0,11,403,400,18,1,800000
38,2,2,0,1,19,18,20,0,12,404,400,19,1,800000
39,2,2,0,1,19,18,20,0,13,404,400,19,1,800000
40,2,2,0,1,19,18,20,0,14,404,400,19,1,800000
41,2,2,0,1,19,18,20,0,15,405,400,20,1,800000
42,2,2,0,1,19,18,20,0,16,405,400,20,1,800000
43,2,2,0,1,19,18,20,0,17,405,400,20,1,800000
44,2,2,0,1,19,18,20,0,18,406,400,21,1,800000
45,2,2,0,1,19,18,20,0,19,406,400,21,1,800000
46,2,2,0,1,19,18,20,0,20,406,400,21,1,800000
47,2,2,0,1,19,18,20,0,21,407,400,22,1,800000
48,2,2,0,1,19,18,20,0,22,407,400,22,1,800000
49,2,2,0,1,19,18,20,0,23,407,400,22,1,800000
50,2,2,0,1,19,18,20,0,24,408,400,23,1,800000
51,2,2,0,1,4,5,4,0,25,418,400,27,1,800000
52,2,2,0,1,4,5,4,0,26,418,400,27,1,800000
53,2,2,0,1,4,5,4,0,27,418,400,27,1,800000
54,2,2,0,1,4,5,4,0,28,418,400,27,1,800000
55,2,2,0,1,3,4,3,0,29,418,400,27,1,800000
56,2,2,0,1,3,4,3,0,30,418,400,28,1,800000
57,2,2,0,1,3,4,3,0,31,418,400,28,1,800000
58,2,2,0,1,3,4,3,0,32,419,400,28,1,800000
59,2,2,0,1,2,3,2,0,33,419,400,28,1,800000
60,2,2,0,1,2,3,2,0,34,419,400,28,1,800000
61,2,2,0,1,2,3,2,0,35,419,400,29,1,800000
62,2,2,0,1,2,3,2,0,36,419,400,29,1,800000
63,2,0,0,1,3,4,3,0,37,420,400,25,1,800000
64,2,0,0,1,2,3,2,0,38,420,400,25,1,800000
65,2,0,1,0,0,0,0,2,38,420,400,24,1,800000
66,3,0,1,0,0,0,0,2,38,418,400,24,1,800000
67,3,0,1,0,0,0,0,2,38,417,400,24,1,800000
