Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
1,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
2,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
3,0,0,1,0,0,0,0,0,0,398,400,15,1,800000
4,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
5,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
6,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
7,0,1,1,0,0,0,0,0,0,399,400,15,1,800000
8,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
9,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
10,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
11,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
12,1,2,0,1,4,5,4,0,0,398,400,15,1,800000
13,2,2,0,1,11,10,9,0,1,400,400,15,1,800000
14,2,2,0,1,12,11,10,0,2,400,400,16,1,800000
15,2,2,0,1,13,12,11,0,3,401,400,16,1,800000
16,2,2,0,1,14,13,12,0,4,401,400,17,1,800000
17,2,2,0,1,15,14,13,0,5,401,400,17,1,800000
18,2,2,0,1,16,15,14,0,6,402,400,18,1,800000
19,2,2,0,1,17,16,15,0,7,402,400,18,1,800000
20,2,2,0,1,18,17,16,0,8,402,400,19,1,800000
21,2,2,0,1,19,18,17,0,9,403,400,19,1,800000
22,2,2,0,1,20,19,18,0,10,403,400,20,1,800000
23,2,2,0,1,21,20,19,0,11,403,400,20,1,800000
24,2,2,0,1,22,21,20,0,12,404,400,21,1,800000
25,2,2,0,1,22,21,20,0,13,404,400,21,1,800000
26,2,2,0,1,22,21,20,0,14,407,400,20,1,800000
27,2,2,0,1,23,22,21,0,15,408,400,23,1,800000
28,2,2,0,1,24,23,22,0,16,408,400,26,1,800000
29,2,2,0,1,25,24,23,0,17,408,400,29,1,800000
30,2,2,0,1,26,25,24,0,18,408,400,32,1,800000
31,2,2,0,1,27,26,25,0,19,408,400,35,1,800000
32,2,2,0,1,28,27,26,0,20,409,400,38,1,800000
33,2,2,0,1,29,28,27,0,21,409,400,41,1,800000
34,2,2,0,1,30,29,28,0,22,409,400,44,1,800000
35,2,2,0,1,31,30,29,0,23,409,400,47,1,800000
36,2,2,0,1,33,32,34,1,24,414,400,50,1,800000
37,2,2,0,1,34,33,35,1,25,415,400,51,1,800000
38,2,2,0,1,35,34,36,1,26,415,400,52,1,800000
39,2,2,0,1,36,35,37,1,27,415,400,53,1,800000
40,2,2,0,1,33,32,34,1,28,415,400,54,1,800000
41,2,2,0,1,34,33,35,1,29,415,400,55,1,800000
42,2,2,0,1,35,34,36,1,30,416,400,56,1,800000
43,2,2,0,1,36,35,37,1,31,416,400,57,1,800000
44,2,2,0,1,33,32,34,1,32,416,400,58,1,800000
45,2,2,0,1,34,33,35,1,33,416,400,59,1,800000
46,2,2,0,1,35,34,36,1,34,416,400,60,1,800000
47,2,2,0,1,36,35,37,1,35,417,400,61,1,800000
48,2,2,0,1,20,21,19,1,36,419,400,62,1,800000
49,2,2,0,1,20,21,19,1,37,419,400,64,1,800000
50,2,2,0,1,20,21,19,1,38,419,400,66,1,800000
51,2,2,0,1,19,20,18,1,39,419,400,68,1,800000
52,2,2,0,1,19,20,18,1,40,420,400,70,1,800000
53,2,2,0,1,19,20,18,1,41,420,400,72,1,800000
54,2,2,0,1,18,19,17,1,42,420,400,74,1,800000
55,2,2,0,1,18,19,17,1,43,420,400,76,1,800000
56,2,2,0,1,18,19,17,1,44,420,400,78,1,800000
57,2,2,0,1,17,18,16,1,45,420,400,80,1,800000
58,2,2,0,1,17,18,16,1,46,420,400,82,1,800000
59,2,2,0,1,17,18,16,1,47,420,400,84,1,800000
60,2,2,0,0,18,17,19,1,48,420,400,90,1,800000
61,2,2,0,0,18,17,19,1,49,420,400,91,1,800000
62,2,2,0,1,17,18,17,1,50,422,400,122,1,800000
63,2,2,0,1,17,18,17,1,51,422,400,125,1,800000
64,2,2,0,1,17,18,17,1,52,422,400,128,1,800000
65,2,2,0,1,17,18,17,1,53,422,400,131,1,800000
66,2,2,1,0,0,0,0,2,53,422,400,90,1,800000
67,3,2,1,0,0,0,0,2,53,420,400,85,1,800000
68,3,2,1,0,0,0,0,2,53,419,400,82,1,800000
69,3,2,1,0,0,0,0,2,53,418,400,79,1,800000
70,3,2,1,0,0,0,0,2,53,417,400,76,1,800000
71,3,2,1,0,0,0,0,2,53,416,400,73,1,800000
72,3,2,1,0,0,0,0,2,53,415,400,70,1,800000
73,3,2,1,0,0,0,0,2,53,414,400,67,1,800000
74,3,2,1,0,0,0,0,2,53,413,400,64,1,800000
75,3,2,0,1,0,0,0,0,53,410,400,50,1,800000
76,4,2,0,1,0,0,0,0,0,408,400,45,1,800000
77,0,0,1,0,0,0,0,0,0,400,400,40,1,800000
78,0,0,1,0,0,0,0,0,0,400,400,37,1,800000
79,0,0,1,0,0,0,0,0,0,400,400,34,1,800000
80,0,0,1,0,0,0,0,0,0,400,400,31,1,800000
81,0,0,1,0,0,0,0,0,0,400,400,28,1,800000
82,0,0,1,0,0,0,0,0,0,400,400,25,1,800000
83,0,0,1,0,0,0,0,0,0,400,400,22,1,800000
84,0,0,1,0,0,0,0,0,0,400,400,19,1,800000
85,0,0,1,0,0,0,0,0,0,400,400,16,1,800000
